Year,national index,number of species,birds index,number of bird species,mammals index,number of mammal species,fish index,number of fish species
1970,0,449,0,337,0,27,0,85
1971,1.45,460,1.27,339,-8.81,31,5.68,90
1972,2.66,461,2.57,342,-15.93,32,10.05,82
1973,3.52,475,3.96,342,-21.93,37,12.51,96
1974,3.98,498,5.58,357,-30.66,34,14.15,107
1975,4.53,493,7.11,365,-35.58,32,14.51,95
1976,4.85,497,8.36,362,-37.31,29,13.21,104
1977,5.03,505,9.23,364,-37.22,37,12.08,102
1978,5.59,503,9.96,367,-34.21,27,10.97,108
1979,6.34,509,10.83,367,-31.6,29,10.66,113
1980,7.25,517,11.78,369,-28.08,30,10.37,117
1981,8.03,519,12.6,369,-24.41,29,9.93,119
1982,8.01,524,13.19,371,-25.55,28,9.31,122
1983,8.11,535,13.7,378,-27.3,26,8.83,128
1984,8.97,565,15.24,376,-28.47,30,8.78,156
1985,9.7,551,16.79,381,-29.85,31,9.11,131
1986,10.02,558,18.13,381,-31,29,7.7,141
1987,8.85,585,17.71,377,-32.44,39,5.1,161
1988,8.06,549,17.72,376,-31.3,33,2.14,133
1989,7.23,579,17.83,376,-29.88,38,-1.21,157
1990,6.96,567,18.03,378,-28.17,47,-4.13,130
1991,6.58,590,18.27,379,-26.92,42,-6.27,156
1992,6.3,580,18.49,384,-26.8,41,-7.61,142
1993,6.5,613,18.56,384,-27.25,47,-6.81,168
1994,7.07,606,18.38,385,-28.45,51,-3.99,154
1995,7.15,603,17.98,387,-26.79,56,-2.91,141
1996,6.95,595,17.32,380,-22.86,52,-3.2,142
1997,6.52,583,16.44,381,-19.82,58,-4.6,122
1998,5.27,617,15.4,381,-20.35,56,-6.64,157
1999,4.17,592,14.2,381,-22.16,61,-7.95,123
2000,3.31,616,12.93,383,-23.21,59,-8.55,149
2001,2.77,601,12.11,382,-24.94,62,-8.49,134
2002,2.07,625,11.12,381,-26.32,56,-9.22,161
2003,1.59,664,10.34,381,-26.01,51,-9.73,204
2004,1.07,675,10.53,385,-23.76,53,-12.97,210
2005,1.17,695,11.11,391,-21.41,51,-14.3,229
2006,1.32,676,11.57,381,-19.55,44,-14.61,227
2007,1.17,696,11.36,388,-17.97,45,-15.23,246
2008,0.43,678,10.53,389,-17.57,38,-16.16,242
2009,-0.14,670,9.55,389,-18.24,40,-16.39,230
2010,-0.76,680,8.89,388,-20.36,46,-16.69,234
2011,-1.28,674,8.59,388,-23.88,43,-16.88,231
2012,-2.59,679,8.25,388,-30.32,33,-18.36,245
2013,-4.32,631,7.56,377,-32.89,36,-20.9,207
2014,-5.86,652,6.74,377,-36.83,37,-22.69,229
2015,-6.61,634,6.08,377,-37.45,26,-23.58,223
2016,-6.44,602,5.73,375,-36.99,32,-22.8,187
2017,-7.48,378,5.67,314,-42.68,26,-26.55,29
2018,-7.43,325,5.79,310,-42.26,7,-29.81,7
